index,voxel_count,volume,surface_area,volume_surface_area_ratio,compactness,compactness_alternate,spherical_disproportion,sphericity
MR_BrainTumor_ShapeTest-label_1.nii,1552.0,1909.6875,1125.1406121253967,0.5891752509902257,9.959774411662496,0.2895720105866663,1.5115220005242382,0.6615848129588399
MR_BrainTumor_ShapeTest-label_2.nii,12576.0,15474.375,5671.687446758151,0.3665212615539013,27.451325594334033,0.1484368529299517,1.8886555271866194,0.5294771786624427
MR_BrainTumor_ShapeTest-label_3.nii,27355.0,33659.47265625,12958.1483117491,0.3849777577945206,34.42207715329948,0.05888953833151542,2.5703205202654633,0.3890565367686982
MR_BrainTumor_ShapeTest-label_4.nii,1648.0,2027.8125,2153.7656065821648,1.062112797204951,6.859943959411558,0.04654924622372035,2.779899630017075,0.3597252178467529
MR_BrainTumor_ShapeTest-label_5.nii,2377.0,2924.82421875,2757.3749674111605,0.94274895213689,8.391912523174673,0.04614922670112022,2.7879085510890596,0.35869182280364365
MR_BrainTumor_ShapeTest-label_6.nii,7368.0,9066.09375,5927.671815901995,0.6538286476358128,15.616696445146694,0.044631381674628906,2.8191610691027216,0.35471545452288694
MR_BrainTumor_ShapeTest-label_7.nii,11794.0,14512.1484375,21390.515613779426,1.4739730444394736,10.625334392464408,0.002433615918526403,7.4344581460435,0.13450879409848907
MR_BrainTumor_ShapeTest-label_8.nii,9740.0,11984.765625,18212.765420749784,1.5196597072168263,9.76796316122103,0.0026889565357029518,7.191266870644386,0.1390575566152495
MR_BrainTumor_ShapeTest-label_9.nii,13284.0,16345.546875,5825.554617717862,0.3564001047054513,28.48391406302193,0.15284085172830847,1.870338370420516,0.5346626128271995
MR_BrainTumor_ShapeTest-label_10.nii,33633.0,41384.35546875,19790.366962999105,0.47820889654650134,31.912343251261905,0.024989825494255075,3.42041597020831,0.29236210119177336
